Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 лавилисереп модурт мишьлоб с ежу; еортсо ;уже с большим трудом пересиливал ; острое ; ; желание схватить Степашу за ворот;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001;Андрей Волос;1955;Недвижимость;2000;художественная;роман;_;«Новый Мир»;2001;журнал;омонимия снята;"Я чувствовал неприятное сердцебиение, вызванное тем, что, с одной стороны, мне хотелось вникнуть в суть произносимого, а с другой, ещё не вникнув толком, я уже с большим трудом пересиливал острое желание схватить Степашу за ворот роскошной куртки, подтащить к балконной двери ( это можно было бы упростить, дождавшись момента, когда Степаша именно возле неё и находится; в крайнем случае одним коленом поддых и здесь [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]"
 и ― екчовед к юьтсогортс; мыртсо ;строгостью к девочке ― и ; острым ; ; желанием Павла Алексеевича посадить дочку;Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000;Людмила Улицкая;1943;Казус Кукоцкого [Путешествие в седьмую сторону света];2000;художественная;роман;_;«Новый Мир»;2000;журнал;омонимия снята;Странная это была несуразица между аскетическими повадками Павла Алексеевича, всем строем его суровой и жестокой жизни хирурга, Елениной механической привычкой брать меньшее и худшее так легко и естественно, что никто этого и не замечал, с Василисиной скупостью и строгостью к девочке ― и острым желанием Павла Алексеевича посадить дочку и жену под стеклянный колпак, чтобы защитить от сквозняков, грубости, всех шероховатостей мимотекущей жизни. [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
 ьсалалед окьлот ,ьсалянем ен ьвобюл; йортсо ;любовь не менялась, только делалась ; острой ; ; болью в нём, болью, которая;митрополит Антоний (Блум). О христианстве (1995);митрополит Антоний (Блум);1914;О христианстве;1995;нехудожественная, церковно-богословская;беседа;религия;;;книга;омонимия снята;"Когда мы были "" хорошими"", его любовь была ликующей радостью; когда мы отпадали от благодати, делались плохими, дурными, его любовь не менялась, только делалась острой болью в нём, болью, которая нас оздоровляла и меняла. [митрополит Антоний (Блум). О христианстве (1995)] [омонимия снята]"
 как ,еж кат ( етсерк; яартсо ;кресте ( так же, как ; острая ; ; боль в душе и в;митрополит Антоний (Блум). О христианстве (1995);митрополит Антоний (Блум);1914;О христианстве;1995;нехудожественная, церковно-богословская;беседа;религия;;;книга;омонимия снята;И эта смерть Христова на кресте ( так же, как острая боль в душе и в сердце отца Георгия Шумкина) может быть возрождением нашим и возрождением других людей, потому что многие из нас переменились от того, что не могли вытерпеть вид Его страданий. [митрополит Антоний (Блум). О христианстве (1995)] [омонимия снята]
 ; яартсО ; ; Острая ; ; боль ударила как ножом.;И. Грекова. Перелом (1987);И. Грекова;1907;Перелом;1987;художественная;повесть;_;;;книга;омонимия снята; Острая боль ударила как ножом. [И. Грекова. Перелом (1987)] [омонимия снята]
:ленксутоп ежот ьчон аз нираноФ; йортсо ;Фонарин за ночь тоже потускнел:; острой ; ; боли вчерашнего унижения уже не;И. Грекова. В вагоне (1983);И. Грекова;1907;В вагоне;1983;художественная;рассказ;_;;;книга;омонимия снята;Фонарин за ночь тоже потускнел:острой боли вчерашнего унижения уже не было… [И. Грекова. В вагоне (1983)] [омонимия снята]
 юукат лавовтсвучоп гурдв И; юуртсо ;И вдруг почувствовал такую ; острую ; ; боль, такую невыразимую словами горечь,;Сергей Довлатов. Заповедник (1983);Сергей Довлатов;1941;Заповедник;1983;художественная;повесть;_;;;книга;омонимия снята;И вдруг почувствовал такую острую боль, такую невыразимую словами горечь, что даже растерялся. [Сергей Довлатов. Заповедник (1983)] [омонимия снята]
 ; яартсО ; ; Острая ; ; боль фейерверком ударила в сознание;Фридрих Горенштейн. Куча (1982) // «Октябрь», 1996;Фридрих Горенштейн;1932;Куча;1982;художественная;повесть;_;«Октябрь»;1996;журнал;омонимия снята;" Острая боль фейерверком ударила в сознание Аркадия Лукьяновича, и она несла с собой тревожный крик:   "" Сломал, сломал левую! [Фридрих Горенштейн. Куча (1982) // «Октябрь», 1996] [омонимия снята]"
 мотоП; яартсо ;Потом ; острая ; ; боль перешла в режущую, пульсирующую,;Фридрих Горенштейн. Куча (1982) // «Октябрь», 1996;Фридрих Горенштейн;1932;Куча;1982;художественная;повесть;_;«Октябрь»;1996;журнал;омонимия снята;"Потом острая боль перешла в режущую, пульсирующую, опадающую подобно огням фейерверка, остановившим свой первоначальный взлёт, и вместе с ней начала опадать из сознания тревога:   "" Вывих или только ушиб"". [Фридрих Горенштейн. Куча (1982) // «Октябрь», 1996] [омонимия снята]"
 ; яартсО ; ; Острая ; ; боль, как от иглы, вдруг;М. А. Булгаков. Мастер и Маргарита, часть 2 (1929-1940);М. А. Булгаков;1891;Мастер и Маргарита, часть 2;1929-1940;художественная;роман;_;;;книга;омонимия снята; Острая боль, как от иглы, вдруг пронзила правую руку Маргариты, и, стиснув зубы, она положила локоть на тумбу. [М. А. Булгаков. Мастер и Маргарита, часть 2 (1929-1940)] [омонимия снята]
