Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 доп кешылырк хынирук яинелвотогирп ялд; мыртсо ;для приготовления куриных крылышек под ; острым ; ; соусом надо приготовить маринад.;«Даша» делится секретами -- побалуй близких вкусным обедом! // «Даша», 2004;;;«Даша» делится секретами -- побалуй близких вкусным обедом!;2004;нехудожественная, публицистика;рецепт;дом и домашнее хозяйство;«Даша»;2004;журнал;омонимия снята;Сначала для приготовления куриных крылышек под острым соусом надо приготовить маринад. [«Даша» делится секретами -- побалуй близких вкусным обедом! // «Даша», 2004] [омонимия снята]
 ,цереп йикдалс ,ьрибми ,осям еонриж; йыртсо ;жирное мясо, имбирь, сладкий перец, ; острый ; ; перец, всяческие приправы.;Григорий Тарасевич. Фейжоада: кастрюля бразильской истории // «Русский репортер», 2014;Григорий Тарасевич;;Фейжоада: кастрюля бразильской истории;2014;нехудожественная, публицистика;статья;дом и домашнее хозяйство;«Русский репортер»;2014;журнал;омонимия не снята;Туда отправляем мелко нарезанными репчатый лук, копченый бекон или сырое жирное мясо, имбирь, сладкий перец, острый перец, всяческие приправы. [Григорий Тарасевич. Фейжоада: кастрюля бразильской истории // «Русский репортер», 2014] [омонимия не снята]
 ,ьного ― ещбоов уреткарах оп; йыртсо ;по характеру вообще ― огонь, ; острый ; ; перец! ;Дина Рубина. Русская канарейка. Блудный сын (2014);Дина Рубина;1953;Русская канарейка. Блудный сын;2014;художественная;роман;_;;;книга;омонимия не снята;А по характеру вообще ― огонь, острый перец!  [Дина Рубина. Русская канарейка. Блудный сын (2014)] [омонимия не снята]
 митэ к апутсод еморК; мыртсо ;Кроме доступа к этим ; острым ; ; блюдам, протест не принесет ничего.;Виктор Пелевин. Бэтман Аполло (2013);Виктор Пелевин;1962;Бэтман Аполло;2013;художественная;роман;_;;;книга;омонимия не снята;Кроме доступа к этим острым блюдам, протест не принесет ничего. [Виктор Пелевин. Бэтман Аполло (2013)] [омонимия не снята]
 с ― енатсикаП в ,имарамьлак; мыртсо ;кальмарами, в Пакистане ― с ; острым ; ; соусом карри.;Александра Дараган. «Хлеб, помидор, сыр... и что-нибудь ещё» // «Зеркало мира», 2012;Александра Дараган;;«Хлеб, помидор, сыр... и что-нибудь ещё»;2012;нехудожественная, публицистика;статья;дом и домашнее хозяйство, история, производство;«Зеркало мира»;2012;журнал;омонимия не снята;В Японии, что естественно для морской страны, любят пиццу с угрями и кальмарами, в Пакистане ― с острым соусом карри. [Александра Дараган. «Хлеб, помидор, сыр... и что-нибудь ещё» // «Зеркало мира», 2012] [омонимия не снята]
 еонноицидарт ( ичмик и ищово; еортсо ;овощи и кимчи ( традиционное ; острое ; ; блюдо из овощей).;Михаил Мореходов. Тондоса: храм, музей, школа // «Наука и религия», 2011;Михаил Мореходов;;Тондоса: храм, музей, школа;2011;нехудожественная, публицистика;заметка;образование, религия, строительство и архитектура;«Наука и религия»;2011;журнал;омонимия не снята;В шесть часов дежурные подают скромный завтрак: рис, варёные овощи и кимчи ( традиционное острое блюдо из овощей). [Михаил Мореходов. Тондоса: храм, музей, школа // «Наука и религия», 2011] [омонимия не снята]
" и еынёлос ,ыданирам ,ыноьлуб ;одакова"; еыртсо ;"авокадо; бульоны, маринады, солёные и "; острые ; ;" блюда, консервы, пряности; продукты, содержащие";коллективный. Дополнения к статье // «Наука и жизнь», 2008;коллективный;;Дополнения к статье;2008;нехудожественная, публицистика;информационное сообщение;здоровье и медицина;«Наука и жизнь»;2008;журнал;омонимия не снята;"Рыба, морепродукты, икра, яйца, грибы, орехи, мёд, шоколад, кофе, какао, овощи, фрукты и ягоды ярко- красного и оранжевого цвета, а также киви, ананасы, авокадо; бульоны, маринады, солёные и острые блюда, консервы, пряности; продукты, содержащие красители, консерванты; газированные напитки, квас; квашеная капуста, редька, редис, некоторые сыры, ветчина, сосиски, пиво [коллективный. Дополнения к статье // «Наука и жизнь», 2008] [омонимия не снята]"
 алавыдалкбо ьтсалв яаньлетизарбоос ,адварП; еортсо ;Правда, сообразительная власть обкладывала ; острое ; ; блюдо своим пресным гарниром, и;С. Б. Рассадин. Книга прощаний. Воспоминания о друзьях и не только о них (2004-2008);С. Б. Рассадин;1935;Книга прощаний. Воспоминания о друзьях и не только о них;2004-2008;нехудожественная, публицистика;мемуары;администрация и управление, искусство и культура, частная жизнь;;;книга;омонимия не снята;Правда, сообразительная власть обкладывала острое блюдо своим пресным гарниром, и вспоминаю звонок из далекого города. [С. Б. Рассадин. Книга прощаний. Воспоминания о друзьях и не только о них (2004-2008)] [омонимия не снята]
 и огокдалс анемес ьтавергорп теуделс; огортсо ;следует прогревать семена сладкого и ; острого ; ; перцев.;В. Дадыкин. Урожай с гарантией // «Наука и жизнь», 2007;В. Дадыкин;;Урожай с гарантией;2007;нехудожественная, публицистика;статья;сельское хозяйство;«Наука и жизнь»;2007;журнал;омонимия не снята;Из-за угрозы потери всхожести не следует прогревать семена сладкого и острого перцев. [В. Дадыкин. Урожай с гарантией // «Наука и жизнь», 2007] [омонимия не снята]
 доп ,мыннаворижагна олыб еитяирпореМ; йыртсо ;Мероприятие было ангажированным, под ; острый ; ; соус и великолепные отбивные нарождающаяся;Евгений Сухов. Делу конец ― сроку начало (2007);Евгений Сухов;1959;Делу конец ― сроку начало;2007;художественная;роман;_;;;книга;омонимия не снята;Мероприятие было ангажированным, под острый соус и великолепные отбивные нарождающаяся партия с импровизированной трибуны хотела запустить бациллу политики в светлые умы. [Евгений Сухов. Делу конец ― сроку начало (2007)] [омонимия не снята]
 доп уничилев юуньларутан в ивреч; мыртсо ;черви в натуральную величину под ; острым ; ; соусом Яд гюрзы.;Ирина Краева. Тим и Дан, или Тайна «Разбитой коленки»: сказочная повесть (2007);Ирина Краева;1966;Тим и Дан, или Тайна «Разбитой коленки»: сказочная повесть;2007;художественная;сказка;_;;;книга;омонимия не снята;Замечу, однако, что самым изысканным блюдом почитались здесь свиные мозги в собственном соку, грудой наваленные на перевернутый панцирь черепахи, а гарниром к ним предполагались дождевые черви в натуральную величину под острым соусом Яд гюрзы. [Ирина Краева. Тим и Дан, или Тайна «Разбитой коленки»: сказочная повесть (2007)] [омонимия не снята]
 ,иманомил или имацруго имынёлос с; еыртсо ;с солёными огурцами или лимонами, ; острые ; ; соусы с пряностями, каши, студень,;Леонид Выскочков. Дебош с дамами и питьё непрестанное (2007) // «Родина», 2011;Леонид Выскочков;1947;Дебош с дамами и питьё непрестанное;2007;нехудожественная, публицистика;статья;искусство и культура, история;«Родина»;2011;журнал;омонимия не снята;Обычно это были щи, жаркое, свинина в сметанном соусе, солонина и ветчина, холодное мясо с солёными огурцами или лимонами, острые соусы с пряностями, каши, студень, паштет, овощи, зелёный горошек. [Леонид Выскочков. Дебош с дамами и питьё непрестанное (2007) // «Родина», 2011] [омонимия не снята]
 окьлот ьтивотог тедуб равоп йеС; еыртсо ;Сей повар будет готовить только ; острые ; ; блюда».;Е. З. Кармазин. Один дьявол о другом (2006.02.04) // «Наша страна» (Аргентина), 2006;Е. З. Кармазин;1919;Один дьявол о другом;2006.02.04;нехудожественная, публицистика;статья;история, политика и общественная жизнь;«Наша страна» (Аргентина);2006;газета;омонимия не снята;Троцкий передает еще одну фразу Ленина о Сталине, сказанную в 1922 году: « Сей повар будет готовить только острые блюда». [Е. З. Кармазин. Один дьявол о другом (2006.02.04) // «Наша страна» (Аргентина), 2006] [омонимия не снята]
 инелок ан лилорп тнаицифо дазан; йыртсо ;назад официант пролил на колени ; острый ; ; соус.;Турецкий Том Сойер // «Знание - сила», 2006;;;Турецкий Том Сойер;2006;нехудожественная, публицистика;заметка;бизнес, коммерция, экономика, финансы, право, природа, путешествия, сельское хозяйство;«Знание - сила»;2006;журнал;омонимия не снята;Индийский суд предписал владельцам одного из ресторанов сети Niruia' s Snack Bar выплатить 1 рупию ( около 2 центов) в качестве возмещения ущерба господину Житендеру Мохану Гупты, которому шестнадцать лет назад официант пролил на колени острый соус. [Турецкий Том Сойер // «Знание - сила», 2006] [омонимия не снята]
 йынсарК; йыртсо ;Красный ; острый ; ; перец, попадая на язык, вызывает;Почему от чили горит во рту? // «Вокруг света», 2004.07.15;;;Почему от чили горит во рту?;2004;нехудожественная, публицистика;заметка;здоровье и медицина;«Вокруг света»;2004.07.15;журнал;омонимия не снята;Красный острый перец, попадая на язык, вызывает « пожар» во рту из-за содержащегося в этой специи вещества капсаицина, стимулирующего чувствительную систему рецепторов тройничного нерва, которые находятся в обонятельном эпителии. [Почему от чили горит во рту? // «Вокруг света», 2004.07.15] [омонимия не снята]
 адгок ьшил ,тидоху еинежж еоньлиС; йыртсо ;Сильное жжение уходит, лишь когда ; острый ; ; перец достигает пищевода, в котором;Почему от чили горит во рту? // «Вокруг света», 2004.07.15;;;Почему от чили горит во рту?;2004;нехудожественная, публицистика;заметка;здоровье и медицина;«Вокруг света»;2004.07.15;журнал;омонимия не снята;Сильное жжение уходит, лишь когда острый перец достигает пищевода, в котором находится гораздо меньше С- волокон. [Почему от чили горит во рту? // «Вокруг света», 2004.07.15] [омонимия не снята]
 и микдалс ынелварпирп ежу )г; мыртсо ;г) уже приправлены сладким и ; острым ; ; перцем, репчатым луком, и уксусом,;Ресторан на дому: устроим праздник для любимых друзей! // «Даша», 2004;;;Ресторан на дому: устроим праздник для любимых друзей!;2004;нехудожественная, реклама;рецепт;дом и домашнее хозяйство;«Даша»;2004;журнал;омонимия не снята;Мидии от датской фирмы Lico ( 340 г) уже приправлены сладким и острым перцем, репчатым луком, и уксусом, которые придадут салату остроту. [Ресторан на дому: устроим праздник для любимых друзей! // «Даша», 2004] [омонимия не снята]
 мокшилс тивотог равоп тотЭ «; еыртсо ;« Этот повар готовит слишком ; острые ; ; блюда»: ;Александр Братерский. Норвежская рыба стала звездой кулинарного техникума // «Известия», 2003.02.06;Александр Братерский;;Норвежская рыба стала звездой кулинарного техникума;2003;нехудожественная, публицистика;статья;политика и общественная жизнь;«Известия»;2003.02.06;газета;омонимия не снята;Доброе слово о русской кухне замолвил сам глава конкурса, главный французский кулинар Поль Бокюз, с сожалением вспомнив о правлении мастера политической кулинарии, о способностях которого нелестно отзывался и Ленин: « Этот повар готовит слишком острые блюда»:  [Александр Братерский. Норвежская рыба стала звездой кулинарного техникума // «Известия», 2003.02.06] [омонимия не снята]
 в ьтиражоп или ьтиравто отсорП; мортсо ;Просто отварить или пожарить в ; остром ; ; соусе ― с луком, с;Александр Мишарин. Белый, белый день // «Октябрь», 2003;Александр Мишарин;;Белый, белый день;2003;художественная;роман;_;«Октябрь»;2003;журнал;омонимия не снята;Просто отварить или пожарить в остром соусе ― с луком, с томатами, с барбарисом. [Александр Мишарин. Белый, белый день // «Октябрь», 2003] [омонимия не снята]
